context_3,context_2,context_1,response
,,,"Уважаемые товарищи! Помогите решить такую задачу по комбинаторике: ""Сколько шестизначных чисел содержат ровно три различные цифры?""

У меня была идея (10×6) × (9×5) × (8×4) × 7 - типа выбираем первую цифру из десяти возможных и можем ее поставить в одну из шести возможных позиций, потом из 9 оставшихся цифр и 5 позиций, потом из 8 и 4, и оставшиеся позиции можем заполнить одной из оставшихся 7 цифр. Но все портит, что на первой по порядку позиции не может стоять 0. Как это учесть - никак не придумаю.... помогите, пожалуйста!"
,,"Уважаемые товарищи! Помогите решить такую задачу по комбинаторике: ""Сколько шестизначных чисел содержат ровно три различные цифры?""

У меня была идея (10×6) × (9×5) × (8×4) × 7 - типа выбираем первую цифру из десяти возможных и можем ее поставить в одну из шести возможных позиций, потом из 9 оставшихся цифр и 5 позиций, потом из 8 и 4, и оставшиеся позиции можем заполнить одной из оставшихся 7 цифр. Но все портит, что на первой по порядку позиции не может стоять 0. Как это учесть - никак не придумаю.... помогите, пожалуйста!","Думаю по формуле включений и исключений надо. Для начала решим сколько вариантов из заданных 3 цифр и пока без учёта нуля. Это будет 3^6 но сюда попадают числа из двух цифр, значит ещё вычитаем С из 3 по 2(число вариантов двух цифр из трёх) и умноженное на 2^6. И дальше по формуле включений и исключений прибавляем число вариантов из 1 цифры, то есть 3. Теперь все это множим на число вариантов 3 цифр из 10. И чтобы учесть нуль на первом месте, надо просто домножить на 0.9. так как 0 это одна цифра из 10 и в силу симметрии. В общем формула вот такая. С(3,10) * (3^6 - 3*2^6 + 3) * 0.9. Вышло 58320."
,"Уважаемые товарищи! Помогите решить такую задачу по комбинаторике: ""Сколько шестизначных чисел содержат ровно три различные цифры?""

У меня была идея (10×6) × (9×5) × (8×4) × 7 - типа выбираем первую цифру из десяти возможных и можем ее поставить в одну из шести возможных позиций, потом из 9 оставшихся цифр и 5 позиций, потом из 8 и 4, и оставшиеся позиции можем заполнить одной из оставшихся 7 цифр. Но все портит, что на первой по порядку позиции не может стоять 0. Как это учесть - никак не придумаю.... помогите, пожалуйста!","Думаю по формуле включений и исключений надо. Для начала решим сколько вариантов из заданных 3 цифр и пока без учёта нуля. Это будет 3^6 но сюда попадают числа из двух цифр, значит ещё вычитаем С из 3 по 2(число вариантов двух цифр из трёх) и умноженное на 2^6. И дальше по формуле включений и исключений прибавляем число вариантов из 1 цифры, то есть 3. Теперь все это множим на число вариантов 3 цифр из 10. И чтобы учесть нуль на первом месте, надо просто домножить на 0.9. так как 0 это одна цифра из 10 и в силу симметрии. В общем формула вот такая. С(3,10) * (3^6 - 3*2^6 + 3) * 0.9. Вышло 58320.",Спасибо!!!
,,,"Привет, подскажет кто-нибудь идеи для решения?
семинар 6, линал"
,,"Привет, подскажет кто-нибудь идеи для решения?
семинар 6, линал",А ссылка на сами задачки есть? Или док
,"Привет, подскажет кто-нибудь идеи для решения?
семинар 6, линал",А ссылка на сами задачки есть? Или док,Вот здесь:
,,,"17 задачу лично я решал так: рассмотрел частный случай, когда матрица A 2 на 2,выбрал 2 случайных собственных значения, например 1 и 2 и втупую посчитал хар многочлена большой матрицы. Там ты увидишь закономерность. А потом используешь волшебное математическое заклинание под названием ""заметим, что"". Ну и всё"
,,"17 задачу лично я решал так: рассмотрел частный случай, когда матрица A 2 на 2,выбрал 2 случайных собственных значения, например 1 и 2 и втупую посчитал хар многочлена большой матрицы. Там ты увидишь закономерность. А потом используешь волшебное математическое заклинание под названием ""заметим, что"". Ну и всё","Это обобщается так. Ты сначала замечаешь, что можешь диагонализовать A (с собственными на диагонали), а потом перестановкой базисных элементов можешь свести все к блочно диагональному случаю с блоками вида
0 -a
a 0
А эти уже диагонализируются над C с числами ai и -ai."
,,,"Я сейчас загуглил определитель блочной матрицы, там лямбдаI со всем коммутирует, понятный Хар мнногочлен получается"
,,,"А можешь напомнишь, пожалуйста, как в таком случае определитель выражается? Увидел этот факт на семинаре Димы, но забыл сам факт и его доказательство."
,,"А можешь напомнишь, пожалуйста, как в таком случае определитель выражается? Увидел этот факт на семинаре Димы, но забыл сам факт и его доказательство.","Там есть формула для блочного определителя.
det от
A B
C D
=
det(AD - CB)
при условии, что все матрицы одного размера и A и C коммутируют.
Доказывается это через случай обратимой матрицы A и потом переходом по непрерывности."
,,,ну вроде можно просто по определению через перестановки
,,ну вроде можно просто по определению через перестановки,Спасибо!
,,,"А может у кого-нибудь, кто уже решал семинары по теорверу все-таки остались какие решения/ ответы? А то я решаю семинарские задачи и даже не знаю правильно или нет решил, толку с этого как мне кажется мало. Здесь же не могу про каждую задачу спрашивать, всем быстро надоем)))"
,,"А может у кого-нибудь, кто уже решал семинары по теорверу все-таки остались какие решения/ ответы? А то я решаю семинарские задачи и даже не знаю правильно или нет решил, толку с этого как мне кажется мало. Здесь же не могу про каждую задачу спрашивать, всем быстро надоем)))","Ну, от того, что кто-то другой скинет свое решение толку больше не будет - он ведь в таком же положении)
Большинство семинарских задач можно нагуглить"
,"А может у кого-нибудь, кто уже решал семинары по теорверу все-таки остались какие решения/ ответы? А то я решаю семинарские задачи и даже не знаю правильно или нет решил, толку с этого как мне кажется мало. Здесь же не могу про каждую задачу спрашивать, всем быстро надоем)))","Ну, от того, что кто-то другой скинет свое решение толку больше не будет - он ведь в таком же положении)
Большинство семинарских задач можно нагуглить",Хоть сверить ответы мог бы и чувствовать себя спокойнее) Ну видимо придется решать как есть((((
,,,"в целом было бы прикольно сделать конфу/файл общего доступа с чем-то таблицеподобным формата ""задача-user-ответ"", так, глядишь, хотя бы по разу каждую задачу можно покрыть."
,,"в целом было бы прикольно сделать конфу/файл общего доступа с чем-то таблицеподобным формата ""задача-user-ответ"", так, глядишь, хотя бы по разу каждую задачу можно покрыть.","Можно еще выкладывать сканы решений. А с июля я могу попытаться подключиться к комментариям на сколько они верные. Просто ответы я наизусть не помню, а вот верно или не верно идет решение сказать проще."
,,,"Добрый вечер, может кто-нибудь помочь мне разобраться почему ответ в решении авторов задачи отличается от моего?"
,,"Добрый вечер, может кто-нибудь помочь мне разобраться почему ответ в решении авторов задачи отличается от моего?","Для начала, 6000-36 будет 5964.
И если с этим значением посчитать, то получается то же, что и в задаче.
0.0281 неправильно нашли, даже если 5064"
,"Добрый вечер, может кто-нибудь помочь мне разобраться почему ответ в решении авторов задачи отличается от моего?","Для начала, 6000-36 будет 5964.
И если с этим значением посчитать, то получается то же, что и в задаче.
0.0281 неправильно нашли, даже если 5064","Да, действительно. Спасибо, хотя я конечно мог бы и сам заметить такую глупую ошибку."
,,,"Подскажите, пожалуйста, идею для задачи."
,,"Подскажите, пожалуйста, идею для задачи.",Можно сначала доказать для alpha = T*p/q. А потом по непрерывности.
,,,мб как-то разложение фурье надо использовать?
,,мб как-то разложение фурье надо использовать?,"Не то чтобы я специалист по фурье, но посмотри в сторону фурье в комплексной форме"
,,,"Привет, помогите пожалуйста разобраться, почему в задаче 17 семинара1-2 мы должны закрепить единичку в перестановке и почему мы вообще можем так сделать? Она же тоже по идее может находиться где угодно от 1 до к"
,,,ну потому что цикл  например (1 2 3) это такой же цикл как (2 3 1)
,,ну потому что цикл  например (1 2 3) это такой же цикл как (2 3 1),"ну это с 3 числами. А например, (1 2 3 4) и (3 1 4 2)"
,,,"и если не закрепить, то ты вот одни и те же циклы будешь по несколько раз считать
ну так ты же 2 разных этих цикла можешь переписать в (1 2 3 4) и (1 4 2 3)
короче все рандомные циклы ты можешь начать с единицы, поэтому и закрепляем"
,,"и если не закрепить, то ты вот одни и те же циклы будешь по несколько раз считать
ну так ты же 2 разных этих цикла можешь переписать в (1 2 3 4) и (1 4 2 3)
короче все рандомные циклы ты можешь начать с единицы, поэтому и закрепляем",Спасибо.
,,,"Господа, подскажите, пожалуйста, как быть с данной задачей"
,,"Господа, подскажите, пожалуйста, как быть с данной задачей","Тут видимо надо понимать так, что на первом участке 3 золотоносных района, а на втором 2. После чего по определению через условную вероятность."
,"Господа, подскажите, пожалуйста, как быть с данной задачей","Тут видимо надо понимать так, что на первом участке 3 золотоносных района, а на втором 2. После чего по определению через условную вероятность.",А уже ответили. Не заметил.
,,,"Возможно:
По Байесу найти вероятность что участок куплен на первом ом или втором районе. А потом вроде легко, находишь две вероятности: 
Р(новый участок золотоносный если исходный с первого участка) * р(исходный участок - первый) + тоже самое если исходный участок второй"
,,,"Здравствуйте, какие есть хорошие онлайн курсы по линейной алгебре?"
,,"Здравствуйте, какие есть хорошие онлайн курсы по линейной алгебре?","Зачем тебе онлайн курсы, если на ютубе есть шикарный курс по линалу от Димы Трушина. Лекции и семинары, а на семинарах разбираются интересные нетиповые задачи"
,"Здравствуйте, какие есть хорошие онлайн курсы по линейной алгебре?","Зачем тебе онлайн курсы, если на ютубе есть шикарный курс по линалу от Димы Трушина. Лекции и семинары, а на семинарах разбираются интересные нетиповые задачи","Оно?
https://youtube.com/playlist?list=PLEwK9wdS5g0r9QiDrKGrYa8zg73OP7EBD"
"Здравствуйте, какие есть хорошие онлайн курсы по линейной алгебре?","Зачем тебе онлайн курсы, если на ютубе есть шикарный курс по линалу от Димы Трушина. Лекции и семинары, а на семинарах разбираются интересные нетиповые задачи","Оно?
https://youtube.com/playlist?list=PLEwK9wdS5g0r9QiDrKGrYa8zg73OP7EBD","Ещё хотел сказать, что в тот год семинары писать стали только со второго модуля, потому восьми первых нет. Но можно на том же канале найти запись следующего года, там есть все лекции и все семинары. К тому курсу так же есть Вики страница."
,,,Я бы хотел побольше практиковаться. Обычно к онлайн курсам прикладывают много интересных задач с их разборами
,,Я бы хотел побольше практиковаться. Обычно к онлайн курсам прикладывают много интересных задач с их разборами,Так на семинарах подробно разбираются много задач. Там как раз много задач уровня шада
,,,Даже листки с домашками есть
,,Даже листки с домашками есть,+
,,,"Где-то сверху видел что у админов этого чата есть свой курс, можете пожалуйста кинуть на него ссылку?"
,,"Где-то сверху видел что у админов этого чата есть свой курс, можете пожалуйста кинуть на него ссылку?",Также см.  https://t.me/shad_prep/12827
,,,"Что кстати можно к собесу по матеше посмотреть, чтобы в короткие сроки убедиться в отсутствии/наличии пробелов каких-то?"
,,"Что кстати можно к собесу по матеше посмотреть, чтобы в короткие сроки убедиться в отсутствии/наличии пробелов каких-то?","я знаю по матану есть классная книжка от Прасолова называется ""Задачи и теоремы математического анализа""."
,,,"Ну тип задачи я нарешал нормально так и спокойно экз прошел, но мало ли где есть что-то проседающее"
,,"Ну тип задачи я нарешал нормально так и спокойно экз прошел, но мало ли где есть что-то проседающее",Для начала стоит глянуть программу вступительных в шад.
,,,Да
,,Да,Спасибо большое
,,,"Всем привет, не могу справиться с вот таким затыком.

Мы ищем множество матриц, коммутирующих с квадратной матрицей A некоторого вида (пусть это 
[[0, 1, 0], [0, 0, 1], [0, 0, 0]]
). Разложим матрицу A в сумму матричных единиц, умноженных на соответствующие коэффициенты a_{i,j} (во взятом примере это будут просто две матричные единицы
[[0, 1, 0], [0, 0, 0], [0, 0, 0]] и 
[[0, 0, 0], [0, 0, 1], [0, 0, 0]]). 

Почему неверно, что AX=XA <=> X коммутирует с каждой из матриц, на которые разложена исходная?

Такой подход в 3-м семинаре ФКНа используется для поиска матрицы, коммутирующей с любой квадратной матрицей. Пытаюсь понять, почему это не применимо для случаев, когда A — какая-то конкретная матрица.

На скрине: как этот подход использовался для доказательства того, что с произвольной квадратной матрицей коммутирует только матрица-скаляр."
,,,"UPD: Кажется, понял, в моём случае не работает необходимость в равносильности, в этом ли причина?"
,,"UPD: Кажется, понял, в моём случае не работает необходимость в равносильности, в этом ли причина?","Причина вот какая. Если X коммутирует с A и B, то она коммутирует и с суммой A + B, однако наоборот вообще говоря не верно. Например возьми X и Y такие, что они не коммутируют, тогда положи A = Y и B = -Y и получишь, что A + B = 0. Значит X коммутирует с суммой, но не коммутирует с каждым слагаемым.
В случае когда у тебя семейство всех матриц, то мы обходим это ограничение тем, что коммутирование с каждым слагаемым тоже входит в условие."
,"UPD: Кажется, понял, в моём случае не работает необходимость в равносильности, в этом ли причина?","Причина вот какая. Если X коммутирует с A и B, то она коммутирует и с суммой A + B, однако наоборот вообще говоря не верно. Например возьми X и Y такие, что они не коммутируют, тогда положи A = Y и B = -Y и получишь, что A + B = 0. Значит X коммутирует с суммой, но не коммутирует с каждым слагаемым.
В случае когда у тебя семейство всех матриц, то мы обходим это ограничение тем, что коммутирование с каждым слагаемым тоже входит в условие.","Спасибо огромное! 3 часа разбирался, в итоге дошёл до этого сам, хотя такого хорошего примера, как с Y  и -Y, в голову не пришло)"
,,,"Ребят, привет всем! 
А есть список задачек именно с собесов? 
Или список тем, которые надо знать"
,,"Ребят, привет всем! 
А есть список задачек именно с собесов? 
Или список тем, которые надо знать","Список тем есть на официальной странице шада. А разные задачки с собесов можно посмотреть в материалах флесс. У него там большой файл с материалами, включая множество задач с собесов"
,,,Спасибо!
,,,"Всем привет, возник вопрос по данной задаче. Мне не ясен момент с почленным интегрированием ряда (20). Почему сходимости интеграла от x^{c-1}-x^{b-1} и равномерной сходимости ряда x^{an} нам достаточно?"
,,"Всем привет, возник вопрос по данной задаче. Мне не ясен момент с почленным интегрированием ряда (20). Почему сходимости интеграла от x^{c-1}-x^{b-1} и равномерной сходимости ряда x^{an} нам достаточно?","вот такая штука есть, кажется про это"
,,,"Да, знаю, но не вполне понимаю как в данном случае оно нам помогает"
,,"Да, знаю, но не вполне понимаю как в данном случае оно нам помогает",А что именно не понятно? Почему интеграл Римана с равномерной сходимостью коммутирует? Или что-то другое.
,"Да, знаю, но не вполне понимаю как в данном случае оно нам помогает",А что именно не понятно? Почему интеграл Римана с равномерной сходимостью коммутирует? Или что-то другое.,"Скорее меня вводит в ступор, что автор непосредственно не доказывает равномерную сходимость ряда (20), а доказывает её только для ряда x^{ax} и ссылается на сходимость интеграла от x^{c-1} - x^{b-1}"
"Да, знаю, но не вполне понимаю как в данном случае оно нам помогает",А что именно не понятно? Почему интеграл Римана с равномерной сходимостью коммутирует? Или что-то другое.,"Скорее меня вводит в ступор, что автор непосредственно не доказывает равномерную сходимость ряда (20), а доказывает её только для ряда x^{ax} и ссылается на сходимость интеграла от x^{c-1} - x^{b-1}",Там даже ещё проще. В равенстве 20 видно что ряд из разностей пропорционален геометрическому. А при умножении на непрерывную ограниченную функцию равномерная сходимость остаётся.
,,,Сумма и разность равномерно сходящихся равномерно сходится. Потому мы сразу получаем равномерную сходимость для разности выражений.
,,,"В общем, я сам по итогу так это и доказал, меня лишь смутило, что это не было прописано в явном виде, я подумал, что может быть что то неправильно понял. Спасибо!"
,,"В общем, я сам по итогу так это и доказал, меня лишь смутило, что это не было прописано в явном виде, я подумал, что может быть что то неправильно понял. Спасибо!","Это чисто психологический вопрос. Те кто пишет тексты они уже не помнят, что было непонятно когда они сами их читали и не замечают такие вещи. С другой стороны, тут подробности достаточная чтобы разобраться и такие вопросы как у тебя это и есть элемент обучения. Хорошо что ты ими задаешься."
,,,"Всем привет, помогите, пожалуйста, разобраться с задачей
Я дошел до того, если dimU + dimW = dimV, то возможно 2 варианта:
1) V раскладывается в прямую сумму U и W, и тогда можно взять оператор проектирования на W параллельно U
2) U⊂W или W⊂U, и вот тут не могу понять как построить оператор"
,,"Всем привет, помогите, пожалуйста, разобраться с задачей
Я дошел до того, если dimU + dimW = dimV, то возможно 2 варианта:
1) V раскладывается в прямую сумму U и W, и тогда можно взять оператор проектирования на W параллельно U
2) U⊂W или W⊂U, и вот тут не могу понять как построить оператор","Вообще, вне зависимости от того, пересекаются эти два ЛПП или нет, можно придумать оператор f, просто задав как он действует на базисные векторы V. Для начала возьмём базис из U, и все его базисные вектора отобразим в нулевые. Далее дополним базис U до базиса всего подпространства V. Этих ""новых"" базисных векторов будет как раз столько, сколько базисных векторов в W в силу того, что по условию dim W + dim U = dim V. Тогда можно любым способом взаимно-однозначно отобразить эти базисные вектора друг в друга и получить оператор f, у которого Im f = W, а Ker f = U"
,"Всем привет, помогите, пожалуйста, разобраться с задачей
Я дошел до того, если dimU + dimW = dimV, то возможно 2 варианта:
1) V раскладывается в прямую сумму U и W, и тогда можно взять оператор проектирования на W параллельно U
2) U⊂W или W⊂U, и вот тут не могу понять как построить оператор","Вообще, вне зависимости от того, пересекаются эти два ЛПП или нет, можно придумать оператор f, просто задав как он действует на базисные векторы V. Для начала возьмём базис из U, и все его базисные вектора отобразим в нулевые. Далее дополним базис U до базиса всего подпространства V. Этих ""новых"" базисных векторов будет как раз столько, сколько базисных векторов в W в силу того, что по условию dim W + dim U = dim V. Тогда можно любым способом взаимно-однозначно отобразить эти базисные вектора друг в друга и получить оператор f, у которого Im f = W, а Ker f = U","А почему добавленные базисные векторы порождают пространство W? Их количество совпадает с dim W, но они ведь могут не порождать W, или я не прав?"
,,,"Здравствуйте, помогите, пожалуйста, разобраться со следующей задачей.

Есть 2 одинаковых ящика. Каждый раз, возвращаясь после прогулки, в один из ящиков кладётся 1 шарик (равновероятно). В ящик может поместиться N шариков. Изначально ящики пустые.

Какова вероятность того, что в момент заполнения одного из ящика, в другом будет ровно K шариков?

Например для N=3, K=2
Как я понимаю, пространство всех исходов будет таким:
3 3
3 2
3 1
3 0
2 2
2 1
2 0
1 1
1 0
0 0
Т.е ящики и шарики неразличимы
Если я правильно думаю, то нужно найти условную вероятность того, что в одном ящике будет K шаров при условии что в другом N шаров. Для данного примера получиться тогда 1/4. Всё так?"
,,"Здравствуйте, помогите, пожалуйста, разобраться со следующей задачей.

Есть 2 одинаковых ящика. Каждый раз, возвращаясь после прогулки, в один из ящиков кладётся 1 шарик (равновероятно). В ящик может поместиться N шариков. Изначально ящики пустые.

Какова вероятность того, что в момент заполнения одного из ящика, в другом будет ровно K шариков?

Например для N=3, K=2
Как я понимаю, пространство всех исходов будет таким:
3 3
3 2
3 1
3 0
2 2
2 1
2 0
1 1
1 0
0 0
Т.е ящики и шарики неразличимы
Если я правильно думаю, то нужно найти условную вероятность того, что в одном ящике будет K шаров при условии что в другом N шаров. Для данного примера получиться тогда 1/4. Всё так?","Модель такая:
Рассмотри ленту размера N + K, состоящую из нулей и единиц. Тем самым на i-ом месте ленты мы будем кодировать ящик, в который мы положили i-ый шарик (1 - это 1-ый ящик, а 0 - это второй ящик).

Заметим, что нам нужно получить на месте N + K единичку (нолик - симметричный случай) и до этого получить K ноликов (единичек - симметричный случай). 

Вот и получаем C(N + K - 1, K) * (1 / 2)^(N + K - 1) * (1 / 2).
А в силу симметрии еще домножим на два.

Тогда получаем C(N + K - 1, K) * (1 / 2)^(N + K - 1)."
,"Здравствуйте, помогите, пожалуйста, разобраться со следующей задачей.

Есть 2 одинаковых ящика. Каждый раз, возвращаясь после прогулки, в один из ящиков кладётся 1 шарик (равновероятно). В ящик может поместиться N шариков. Изначально ящики пустые.

Какова вероятность того, что в момент заполнения одного из ящика, в другом будет ровно K шариков?

Например для N=3, K=2
Как я понимаю, пространство всех исходов будет таким:
3 3
3 2
3 1
3 0
2 2
2 1
2 0
1 1
1 0
0 0
Т.е ящики и шарики неразличимы
Если я правильно думаю, то нужно найти условную вероятность того, что в одном ящике будет K шаров при условии что в другом N шаров. Для данного примера получиться тогда 1/4. Всё так?","Модель такая:
Рассмотри ленту размера N + K, состоящую из нулей и единиц. Тем самым на i-ом месте ленты мы будем кодировать ящик, в который мы положили i-ый шарик (1 - это 1-ый ящик, а 0 - это второй ящик).

Заметим, что нам нужно получить на месте N + K единичку (нолик - симметричный случай) и до этого получить K ноликов (единичек - симметричный случай). 

Вот и получаем C(N + K - 1, K) * (1 / 2)^(N + K - 1) * (1 / 2).
А в силу симметрии еще домножим на два.

Тогда получаем C(N + K - 1, K) * (1 / 2)^(N + K - 1).",Большое спасибо
,,,"А есть же ещё случай, когда они просто пересекаются?"
,,"А есть же ещё случай, когда они просто пересекаются?",Неа
,,Да,А не
,Да,А не,"В R^ 2 и R^3 обязательно одно содержится в другом, В R^4 можно придумать пример с пересечением"
Да,А не,"В R^ 2 и R^3 обязательно одно содержится в другом, В R^4 можно придумать пример с пересечением","Да, согласен"
,,,На мой взгляд здесь простое биномиальное распределение для n+k шаров. Вероятность (число сочетаний из n+k по к)*2**-(n+k)
,,На мой взгляд здесь простое биномиальное распределение для n+k шаров. Вероятность (число сочетаний из n+k по к)*2**-(n+k),здесь чуть аккуратнее нужно считать
,,,"Сначала помедитируйте на естественный гомомоморфизм
h: V —> V/U. Какое у него ядро? Какой образ? Какая размерность образа?"
,,"Сначала помедитируйте на естественный гомомоморфизм
h: V —> V/U. Какое у него ядро? Какой образ? Какая размерность образа?","Они его и не порождают
Просто их можно отобразить в базисные векторы W
Например, у тебя добавленные векторы это e_1, ..., e_k. А базис в W это f_1, ..., f_k. Тогда просто задаешь f как f (e_i) = f_i"
,"Сначала помедитируйте на естественный гомомоморфизм
h: V —> V/U. Какое у него ядро? Какой образ? Какая размерность образа?","Они его и не порождают
Просто их можно отобразить в базисные векторы W
Например, у тебя добавленные векторы это e_1, ..., e_k. А базис в W это f_1, ..., f_k. Тогда просто задаешь f как f (e_i) = f_i","Да, я кажется понял, спасибо"
"Сначала помедитируйте на естественный гомомоморфизм
h: V —> V/U. Какое у него ядро? Какой образ? Какая размерность образа?","Они его и не порождают
Просто их можно отобразить в базисные векторы W
Например, у тебя добавленные векторы это e_1, ..., e_k. А базис в W это f_1, ..., f_k. Тогда просто задаешь f как f (e_i) = f_i","Да, я кажется понял, спасибо","Почему, у вас же варианты
001
110
111
000
Это неудача, остальные успех
Получается 1/2 как раз как в том решении"
"Они его и не порождают
Просто их можно отобразить в базисные векторы W
Например, у тебя добавленные векторы это e_1, ..., e_k. А базис в W это f_1, ..., f_k. Тогда просто задаешь f как f (e_i) = f_i","Да, я кажется понял, спасибо","Почему, у вас же варианты
001
110
111
000
Это неудача, остальные успех
Получается 1/2 как раз как в том решении","А, мне было не понятно почему 001 и 110 не подходят, но забыл учесть что по условию в момент заполнения. Спасибо"
,,,Вообще это называется отрицательным биномиальным распределением
,,Вообще это называется отрицательным биномиальным распределением,Но тут ток сумма двух этих вероятностей из-за симметрии
,,,Или распределением Паскаля вроде еще
,,,"а для любой матрицы существует коммутирующая с ней матрица, кроме скалярной?"
,,"а для любой матрицы существует коммутирующая с ней матрица, кроме скалярной?","Любой многочлен от матрицы с ней коммутирует. И вообще говоря есть матрица, что больше ничего нет. Над алгебраически замкнутым полем эти матрицы описываются так, что для каждого собственного значения у них одна клетка максимального размера. Если для какого-то собственного есть две клетки хотя бы, то есть и новый вид матрицу, коммутирующих с данной.
В общем виде в жнф можно посчитать все коммутирующие."
,,,ну и кроме самой А и ее степеней
,,ну и кроме самой А и ее степеней,для матриц 1 на 1 нет
,ну и кроме самой А и ее степеней,для матриц 1 на 1 нет,"ахахах
это точно)))
про жнф хотел услышать как раз, спасибо большое"
,,,"Добрый

Подскажите через сколько времени после оплаты приходит видео?

Я не тороплю, просто может я пропустил где-то... Купил часа 2 назад, пришли только ссылки на билеты"
,,"Добрый

Подскажите через сколько времени после оплаты приходит видео?

Я не тороплю, просто может я пропустил где-то... Купил часа 2 назад, пришли только ссылки на билеты","В последний год сервис стал вплоть до суток задерживать. В любом случае, если не придет автоматически, то руками сделаем."
,,,"Привет. Прошу прощения за задержку, чуть позже пришлю."
,,,Добрый вечер! Подскажите пожалуйста какого числа начинается поток 2023 по подготовке в ШАД?
,,Добрый вечер! Подскажите пожалуйста какого числа начинается поток 2023 по подготовке в ШАД?,"Пока не планировали делать курс в следующем году. Если что, то, конечно, объявим.

Видеозаписи прошедшего курса доступны здесь:
https://shad-prep.timepad.ru/event/2197951/

О курсе подробней: https://t.me/shad_prep/12827"
,,,Спасибо 🙏🏻
,,,"Все привет! Подскажите пожалуйста, как решать. Вообще не знаю как связать значение параметра а с наличием у оператора двумерного инвариантного пространства, где лежит тот указанный вектор"
,,"Все привет! Подскажите пожалуйста, как решать. Вообще не знаю как связать значение параметра а с наличием у оператора двумерного инвариантного пространства, где лежит тот указанный вектор","Для начала надо найти наименьшее инвариантное подпространство, содержащее вектор v=(1,1,1). Это пространство является линейной оболочкой векторов v, Av, A^2v,... Так как матрица размера 3, то она обязательно зануляется многочленом 3 степени потому достаточно брать степени A меньшие трех. То есть минимальное инвариантное будет <v, Av, A^2v>. Теперь находим размерность этой оболочки. Если она 3, то такой случай не подходит так как минимальное инвариантное уже все. Если оно 2 то это искомое инвариантное. Если оно 1, то есть вектор собственный, надо понять есть ли ещё линейно независимые с нашим вектором собственные векторы, если есть, то добавим к нашему и получим двумерное, если нет, то тогда двумерного инвариантного нет. Нулем размерность быть не может."
,,,может стоит смотреть на него как на матрицу ортогонального проектирования?
,,,откуда эта задача?
,,откуда эта задача?,мага вмк
,,,Вроде как должна быть пара комплексных собственных значений с заданным вам собственным вектором
,,Вроде как должна быть пара комплексных собственных значений с заданным вам собственным вектором,"Условие на просто инвариантное подпространство понятно: должны быть комплексные собственные числа. Но непонятно, как привязать, что в этом инвариантом подпространстве содержится вектор (1,1,1). По вольфраму все собственные вектора и числа через параметр а выражаются страшно"
,Вроде как должна быть пара комплексных собственных значений с заданным вам собственным вектором,"Условие на просто инвариантное подпространство понятно: должны быть комплексные собственные числа. Но непонятно, как привязать, что в этом инвариантом подпространстве содержится вектор (1,1,1). По вольфраму все собственные вектора и числа через параметр а выражаются страшно","А если добавить условие на собственное значение по определению? Ax = l*x
Не упростит ли это решение системы?
(я задачу не решал и просто идею вкинул)"
,,,а есть люди которые в магу матфака собираются поступать в этом или следующем году?
,,а есть люди которые в магу матфака собираются поступать в этом или следующем году?,+
,,,"Знаю людей которые поступили в прошлом. Если это надо. Могу поискать тех, кто сейчас поступает. А что надо?"
,,,"Интересно как готовятся(готовились), как написали. Сам не в Москве учусь"
,,"Интересно как готовятся(готовились), как написали. Сам не в Москве учусь","Напиши Лёше Дивакову @F_kruto или Володе Смурыгину @vlasmur они сейчас в маге учатся, думаю они могут рассказать как готовились и какие есть опции поступления. Там есть возможность через Олимпиаду поступить, а есть через экзамены."
,"Интересно как готовятся(готовились), как написали. Сам не в Москве учусь","Напиши Лёше Дивакову @F_kruto или Володе Смурыгину @vlasmur они сейчас в маге учатся, думаю они могут рассказать как готовились и какие есть опции поступления. Там есть возможность через Олимпиаду поступить, а есть через экзамены.","Сейчас сам учусь там в аспирантуре, но знаю процесс поступления и в магистратуру тоже: легче всего получить хорошее место на олимпиаде Я-Профессионал: бронзы точно хватает, но и победителя вроде тоже. В мой год точно работало, сейчас лучше проверить. Второй вариант: олимпиада выпускников ВШЭ - она чуть посложнее. Ещё большой вклад (чуть ли не половину) имеет портфолио: выступление на семинарах, выездные школы с презентациями и так далее"
,,,очень благодарю
,,очень благодарю,"В планах его воскресить позже, да. Пока не получается время выделить"
,,,где можно взять семинары и дз по пилоту линала?
,,где можно взять семинары и дз по пилоту линала?,http://wiki.cs.hse.ru/%D0%97%D0%B0%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0
,где можно взять семинары и дз по пилоту линала?,http://wiki.cs.hse.ru/%D0%97%D0%B0%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0,спасибо
,,,нашел только 4 листочка
,,нашел только 4 листочка,А он упорный.
,нашел только 4 листочка,А он упорный.,Наверное бессмертный)
нашел только 4 листочка,А он упорный.,Наверное бессмертный),Удалите сообщение с его входом сюда
А он упорный.,Наверное бессмертный),Удалите сообщение с его входом сюда,"Господа, кто-нибудь знает ответ на эту задачу?"
Наверное бессмертный),Удалите сообщение с его входом сюда,"Господа, кто-нибудь знает ответ на эту задачу?",Нужен Экзорцист)))
